	Regulon	Size	NES	p.value	FDR	Ledge
NR0B1	NR0B1	98	-3.17	0.00154	0.0174	GAMT, COL23A1, TNNC1, RPUSD1, + 80 genes
TSHZ3	TSHZ3	81	-3.19	0.00142	0.0165	TMBIM6, C11orf80, KAL1, KLRF1, + 59 genes
SALL3	SALL3	53	-3.22	0.00127	0.015	FAM83F, ZNF623, NCSTN, STARD3, + 38 genes
ZNF536	ZNF536	83	-3.23	0.00124	0.0148	KLK2, DNAH8, LOC399959, RNF126P1, + 72 genes
ZNF586	ZNF586	52	-3.23	0.00124	0.0148	SFRS13B, ZCCHC24, SALL1, WDR72, + 42 genes
RGS11	RGS11	156	-3.24	0.0012	0.0146	TNNC2, TNK2, ANO8, RAB11FIP3, + 129 genes
TGIF1	TGIF1	250	-3.24	0.0012	0.0146	ALS2CR8, MPHOSPH10, UBE2C, TUBB6, + 210 genes
ZNF253	ZNF253	114	-3.24	0.00119	0.0146	ZNF788, IPO9, C17orf63, SLC35C2, + 98 genes
AIRE	AIRE	188	-3.25	0.00116	0.0145	FTSJD2, PDIA2, VSTM2A, RFPL1, + 144 genes
NUPL2	NUPL2	81	-3.25	0.00116	0.0145	C21orf59, GPATCH1, ZNF513, POLR2H, + 62 genes
SOX10	SOX10	35	-3.25	0.00116	0.0145	FAM19A5, C19orf33, TMEM30B, ZDHHC8P1, + 28 genes
NEUROG1	NEUROG1	143	-3.26	0.0011	0.0142	TRIM63, SLIT1, LASS1, NCLN, + 108 genes
TCF19	TCF19	166	-3.27	0.00109	0.0142	CTNND2, PABPC4L, TMEM132D, GOT1, + 142 genes
MEIS3	MEIS3	180	-3.27	0.00108	0.0142	OR2H2, GCGR, TBKBP1, CFH, + 156 genes
TEAD2	TEAD2	116	-3.27	0.00106	0.0142	MAN2B2, CYTH2, C19orf39, FAM115C, + 101 genes
TOX2	TOX2	49	-3.29	0.00102	0.014	FAM19A5, TNFRSF10D, DAPK3, RSPO4, + 37 genes
ARNTL2	ARNTL2	118	-3.29	0.000986	0.0138	FBXO22OS, FLVCR1, COX4I2, LIMD1, + 94 genes
ZNF581	ZNF581	194	-3.3	0.000952	0.0134	MARCH4, LOC728643, NT5DC2, MRPL21, + 171 genes
SNAI1	SNAI1	80	-3.31	0.000949	0.0134	C17orf63, ELFN1, EEF1A2, KCNG1, + 61 genes
CREBL2	CREBL2	141	-3.33	0.00087	0.0128	CA6, EPHX2, SMCHD1, COQ9, + 126 genes
LASS4	LASS4	77	-3.34	0.000846	0.0128	RHOBTB2, NCLN, IL28RA, SUMO1P1, + 63 genes
ZNF70	ZNF70	70	-3.34	0.000839	0.0128	CCDC134, LRRTM1, TMOD2, EIF2AK3, + 57 genes
E2F1	E2F1	108	-3.34	0.000838	0.0128	SETDB2, LIG1, WDR63, MCM5, + 77 genes
HMGB3	HMGB3	164	-3.35	0.000798	0.0126	OVOL2, PAG1, GLS, GPR141, + 151 genes
HIC2	HIC2	243	-3.37	0.000764	0.0122	C13orf27, PDXP, ATF3, SLC6A17, + 218 genes
ZNF445	ZNF445	113	-3.37	0.000756	0.0122	SELV, FGL1, TECPR2, C19orf33, + 87 genes
DHX57	DHX57	129	-3.38	0.000722	0.012	CAD, C17orf91, DYNC2LI1, TBP, + 107 genes
ZNF254	ZNF254	66	-3.39	0.000712	0.012	DISC1, DHRS4L1, C15orf42, STARD3, + 54 genes
ZBED4	ZBED4	132	-3.39	0.00071	0.012	RBM38, FNDC3B, RAB34, STS, + 105 genes
NPAS1	NPAS1	92	-3.4	0.000678	0.012	REEP6, LOC389634, COL6A6, MPP3, + 83 genes
ZHX1	ZHX1	105	-3.43	0.000613	0.0117	FKBP1A, MEIS2, MPDU1, PTPRM, + 91 genes
ZNF384	ZNF384	312	-3.45	0.000571	0.0112	C15orf59, GJB5, NOC2L, MYH1, + 245 genes
ZNF620	ZNF620	169	-3.47	0.000529	0.0107	ZNF513, HPX, TMEM30B, BDNF, + 129 genes
ZFP57	ZFP57	124	-3.48	0.000509	0.0105	PHYHD1, DLX3, RFX6, TMEM14A, + 105 genes
ZNF639	ZNF639	112	-3.49	0.000488	0.0104	EIF5A2, GABBR2, CCDC50, BRSK1, + 84 genes
NR2F6	NR2F6	392	-3.49	0.000487	0.0104	SLC25A23, NCRNA00202, ANKLE1, ANKRD12, + 351 genes
ZNF238	ZNF238	142	-3.49	0.000477	0.0104	EVX1, CPNE8, FAT3, ATXN7, + 112 genes
TFDP2	TFDP2	64	-3.5	0.000458	0.0104	SPARC, XPNPEP2, SUDS3, STK35, + 54 genes
PCGF6	PCGF6	149	-3.51	0.000451	0.0104	TMSB15B, ZNF215, SPAG5, PHLDA3, + 129 genes
ZNF648	ZNF648	184	-3.55	0.000381	0.00952	C6orf208, PSPC1, SELV, KRT7, + 141 genes
ZNF74	ZNF74	178	-3.58	0.000343	0.00873	SRRD, RPL8, STYXL1, LPIN1, + 141 genes
ZNF626	ZNF626	115	-3.6	0.000324	0.00842	PTGIR, SLC43A3, PHF2, FTHL3, + 91 genes
ZNF486	ZNF486	122	-3.6	0.000314	0.00832	RGS3, TMEM80, SH3GLB2, CELF4, + 107 genes
ZFR2	ZFR2	112	-3.62	0.000299	0.00808	DLX3, GPR141, NCCRP1, KCNQ2, + 89 genes
ZNF605	ZNF605	76	-3.66	0.000256	0.00722	IKZF4, DHTKD1, CCDC85A, ZNF676, + 64 genes
FOXM1	FOXM1	234	-3.72	0.000202	0.00609	MCM4, DRG1, RFX6, C2orf74, + 191 genes
ATOH7	ATOH7	115	-3.74	0.000187	0.00579	ALCAM, VNN1, C19orf33, SUV420H2, + 89 genes
ZNF222	ZNF222	188	-3.76	0.000168	0.00544	MORC2, UGT3A1, FAM19A5, ZNF85, + 167 genes
ZNF146	ZNF146	165	-3.76	0.000167	0.00544	BEND6, PCGF2, LPCAT3, GRIP1, + 148 genes
LGR4	LGR4	210	-3.77	0.000163	0.00544	MMP1, LRRC59, CXorf22, HRNBP3, + 191 genes
ZNF780A	ZNF780A	94	-3.79	0.000148	0.00519	PROM2, KCNH2, MYO3A, MDM4, + 79 genes
ALX1	ALX1	159	-3.81	0.000141	0.00507	ATOH8, C2orf34, ZDHHC13, RAB25, + 129 genes
ZC3H4	ZC3H4	157	-3.81	0.000138	0.00507	GLTSCR1, SPIRE2, RGS11, GRINA, + 132 genes
ZSCAN22	ZSCAN22	143	-3.83	0.000131	0.00499	ZNF552, C11orf80, GNA11, AGA, + 109 genes
INSM2	INSM2	77	-3.84	0.000123	0.00486	AGGF1, GCGR, PRDM13, TUBBP5, + 65 genes
ZNF234	ZNF234	111	-3.84	0.000122	0.00486	COX4I2, VPS13B, ZBTB26, HOMER1, + 96 genes
GRHL1	GRHL1	241	-3.86	0.000111	0.00482	NLGN3, SELV, RYR1, ZSCAN12P1, + 202 genes
DLX3	DLX3	42	-3.87	0.000111	0.00482	HOXB13, DLX4, BRSK2, SLIT1, + 33 genes
DUS3L	DUS3L	97	-3.88	0.000104	0.0048	ADRM1, PPAN, IL7, P2RY12, + 84 genes
FOXE3	FOXE3	169	-3.9	9.79e-05	0.00471	GPR141, NOP2, EMR3, SERPINA10, + 146 genes
THAP10	THAP10	84	-3.98	6.97e-05	0.00377	CA6, LRRTM1, MPHOSPH6, IRF6, + 72 genes
TSC22D1	TSC22D1	81	-4.02	5.72e-05	0.00323	TMOD2, NANP, C3orf52, CECR6, + 68 genes
IRX1	IRX1	199	-4.03	5.66e-05	0.00323	NOTO, PPIL4, C7orf29, FOXI2, + 177 genes
LHX8	LHX8	97	-4.03	5.58e-05	0.00323	C10orf25, AGTPBP1, TMEFF2, SYT13, + 78 genes
FAM171B	FAM171B	114	-4.08	4.47e-05	0.0029	LRRTM1, GIPC2, UBR3, ATRX, + 96 genes
ZNF100	ZNF100	122	-4.14	3.54e-05	0.00255	TCTE1, ZNF92, LYRM5, PSPC1, + 103 genes
TAL2	TAL2	209	-4.16	3.18e-05	0.00243	C2orf34, DGCR5, HLA-DPB2, ISOC1, + 186 genes
ZNF490	ZNF490	291	-4.17	3.06e-05	0.00243	KRAS, RCN2, FLJ37307, RAB6A, + 233 genes
ZNF114	ZNF114	84	-4.17	3.01e-05	0.00243	CLCN2, C15orf59, C9orf135, SELV, + 62 genes
ZNF256	ZNF256	177	-4.18	2.88e-05	0.00243	QPCT, RFX2, MED25, SLC16A10, + 148 genes
SOX4	SOX4	128	-4.2	2.61e-05	0.00243	EXOC3, SLIT1, PMAIP1, LPHN1, + 115 genes
POGK	POGK	193	-4.21	2.59e-05	0.00243	DEDD, DGCR5, SSX1, RFX6, + 168 genes
IRX2	IRX2	231	-4.22	2.5e-05	0.00243	SHC2, HECW1, CTNNA2, OVOL2, + 201 genes
KLF17	KLF17	160	-4.32	1.56e-05	0.00203	TOR3A, TROAP, C6orf57, NLRP11, + 151 genes
ZSCAN5B	ZSCAN5B	87	-4.53	5.77e-06	0.00107	MYBPHL, SH3GL3, ITPKC, BDNF, + 71 genes
PBX3	PBX3	346	-4.54	5.62e-06	0.00107	MAPKAP1, SPRY4, GABBR2, HS3ST5, + 273 genes
LASS2	LASS2	207	-4.55	5.41e-06	0.00107	C19orf33, UBAP2L, STYXL1, UBL5, + 168 genes
SLC39A10	SLC39A10	337	-4.58	4.68e-06	0.00107	C12orf40, KLF17, BEAN, IRX2, + 265 genes
EWSR1	EWSR1	114	-4.6	4.3e-06	0.00107	KHDC1L, REEP4, E2F4, HDDC2, + 103 genes
MSGN1	MSGN1	95	-5.16	2.53e-07	0.000165	BMP6, CACNG7, IRS1, DUSP16, + 38 genes
MKRN3	MKRN3	251	-6.08	1.21e-09	1.57e-06	HMGCLL1, CYP2F1, ANK1, C15orf23, + 215 genes
